mport doomish
Couldn't import doom
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
(-4.0, ' ', 399943)
(-4.0, ' ', 399923)
(-4.0, ' ', 399887)
(-4.0, ' ', 399795)
(-4.0, ' ', 399779)
(-4.0, ' ', 399624)
(-4.0, ' ', 399252)
(-4.0, ' ', 399119)
(-4.0, ' ', 399085)
(-4.0, ' ', 399040)
(-4.0, ' ', 398907)
(-4.0, ' ', 398811)
(-4.0, ' ', 398444)
(-4.0, ' ', 398439)
(-4.0, ' ', 398414)
(-4.0, ' ', 398389)
(-4.0, ' ', 398232)
(-4.0, ' ', 398100)
(-4.0, ' ', 397978)
(-4.0, ' ', 397937)
(-4.0, ' ', 397930)
(-4.0, ' ', 397787)
(-4.0, ' ', 397786)
(-4.0, ' ', 397527)
(-4.0, ' ', 397506)
(-4.0, ' ', 397466)
(-4.0, ' ', 397433)
(-4.0, ' ', 397432)
(-4.0, ' ', 397228)
(-4.0, ' ', 397164)
(-4.0, ' ', 397133)
(-4.0, ' ', 397079)
(-4.0, ' ', 397073)
(-4.0, ' ', 396979)
(-4.0, ' ', 396828)
(-4.0, ' ', 396586)
(-4.0, ' ', 396518)
(-4.0, ' ', 396343)
(-4.0, ' ', 396338)
(-4.0, ' ', 396254)
(-4.0, ' ', 396170)
(-4.0, ' ', 396152)
(-4.0, ' ', 396098)
(-4.0, ' ', 396096)
(-4.0, ' ', 396057)
(-4.0, ' ', 395907)
(-4.0, ' ', 395813)
(-4.0, ' ', 395811)
(-4.0, ' ', 395609)
(-4.0, ' ', 395584)
(-4.0, ' ', 395544)
(-4.0, ' ', 395488)
(-4.0, ' ', 395310)
(-4.0, ' ', 395091)
(-4.0, ' ', 395037)
(-4.0, ' ', 395007)
(-4.0, ' ', 394982)
(-4.0, ' ', 394945)
(-4.0, ' ', 394820)
(-4.0, ' ', 394507)
(-4.0, ' ', 394450)
(-4.0, ' ', 394399)
(-4.0, ' ', 394373)
(-4.0, ' ', 394362)
(-4.0, ' ', 394254)
(-4.0, ' ', 394236)
(-4.0, ' ', 394165)
(-4.0, ' ', 394163)
(-4.0, ' ', 394146)
(-4.0, ' ', 394125)
(-4.0, ' ', 394119)
(-4.0, ' ', 394002)
(-4.0, ' ', 393912)
(-4.0, ' ', 393566)
(-4.0, ' ', 393501)
(-4.0, ' ', 393359)
(-4.0, ' ', 393334)
